,global_id,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_x,X2_x,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1_y,X2_y,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월,X1,X2,기업유형,경기전망,내수전망,수출전망,영업이익실적,자금사정실적,판매대금회수지연,자금조달곤란,업체간 과당경쟁,인력확보난,인건비상승,월
10,134168,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,24,3,1,3,3,0,3,3,0,0,1,0,0,8,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,24.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,24.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
11,134169,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,24.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,24,4,1,3,3,0,3,2,0,1,1,0,0,8,24.0,4.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,24.0,4.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,4.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,24.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0
12,134170,24.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,24,2,1,2,2,0,2,3,1,0,0,0,0,8,24.0,2.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,9.0,24.0,2.0,1.0,3.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,24.0,2.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,24.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0
13,118624,24.0,5.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,5.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,24.0,5.0,1.0,3.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,7.0,24,5,1,3,2,0,2,2,1,0,1,0,1,8,24.0,5.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,24.0,5.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,5.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,5.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,12.0
14,134171,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,24.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,6.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,24,1,1,3,2,0,2,2,1,1,0,0,1,8,24.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,9.0,24.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,24.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,11.0,24.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12.0
15,134172,24.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,24,3,2,3,3,3,3,3,0,0,0,0,1,8,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,24.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,10.0,24.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0
16,134173,24.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,24.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,24.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,24.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,3.0,1.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,24,3,1,3,4,2,3,3,1,0,1,0,0,8,24.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,9.0,24.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,11.0,24.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,12.0
17,134174,36.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,36.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,36.0,4.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,36.0,4.0,1.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,36.0,4.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,36.0,4.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,36,4,1,3,3,0,3,3,0,0,1,0,0,8,36.0,4.0,1.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,9.0,36.0,4.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,10.0,36.0,4.0,1.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,11.0,36.0,4.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
18,134186,36.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,36.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,36.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,36.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,36.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,36,3,2,2,1,1,1,2,1,1,0,0,1,8,36.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,9.0,36.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,36.0,3.0,2.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,11.0,36.0,3.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,12.0
19,134188,36.0,6.0,1.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,36.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,36.0,6.0,1.0,4.0,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,36.0,6.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,36.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,6.0,36.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,36,6,1,3,3,0,3,3,0,0,1,0,1,8,36.0,6.0,1.0,4.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,9.0,36.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,10.0,36.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,11.0,36.0,6.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,12.0
