date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,240004,3.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.26
2019-03-01,240004,2.0,3.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,3.64
2019-04-01,240004,2.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,2.89
2019-05-01,240004,4.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.77
2019-06-01,240004,4.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.66
2019-07-01,240004,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.18
2019-08-01,240004,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.03
2019-09-01,240004,2.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.28
2019-10-01,240004,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.4
2019-11-01,240004,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,2.91
2019-12-01,240004,4.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,4.06
2020-01-01,240004,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.03
