date,cor_code,경기전망,내수전망,수출전망,업체간 과당경쟁,영업이익실적,인건비상승,인력확보난,자금사정실적,자금조달곤란,판매대금회수지연,도산가능성
2019-02-01,360006,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.42
2019-03-01,360006,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.79
2019-04-01,360006,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.96
2019-05-01,360006,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.08
2019-06-01,360006,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.33
2019-07-01,360006,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.17
2019-08-01,360006,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.59
2019-09-01,360006,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.96
2019-10-01,360006,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.79
2019-11-01,360006,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.72
2019-12-01,360006,3.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,4.71
2020-01-01,360006,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,3.69
